dataset,movetype,moveN,BeginF,EndF
t3,hand_OC,1,793,745
t3,hand_OC,2,896,846
t3,hand_OC,3,1003,953
t3,hand_OC,4,1109,1060
t3,hand_OC,5,1221,1168
t3,hand_PS,1,1462,1834
t3,hand_PS,2,1865,1932
t3,hand_PS,3,1971,2033
t3,arm_EF,1,2330,2394
t3,arm_EF,2,2446,2532
t3,arm_EF,3,2585,2681
t3,arm_EF,4,2736,2821
t3,arm_EF,5,2876,2965
t3,arm_EF,6,3019,3106
