dataset,movetype,moveN,BeginF,EndF
t2,hand_OC,1,631,662
t2,hand_OC,2,695,906
t2,hand_PS,1,1213,1418
t2,hand_PS,2,1347,1608
t2,hand_PS,3,1583,1689
t2,hand_PS,4,1657,1752
t2,hand_PS,5,1732,1919
t2,arm_EF,1,2025,2083
t2,arm_EF,2,2202,2269
t2,arm_EF,3,2336,2388
t2,arm_EF,4,2454,2504
t2,arm_EF,5,2564,2609
t2,arm_EF,6,2649,2717
