dataset,movetype,moveN,BeginF,EndF
c1,hand_OC,1,636,682
c1,hand_OC,2,735,779
c1,hand_OC,3,843,895
c1,hand_OC,4,942,1006
c1,hand_OC,5,1053,1122
c1,hand_OC,6,1177,1234
c1,hand_PS,1,1585,1628
c1,hand_PS,2,1692,1739
c1,hand_PS,3,1798,1843
c1,hand_PS,4,1911,1953
c1,hand_PS,5,2023,2068
c1,arm_EF,1,2355,2485
c1,arm_EF,2,2580,2629
c1,arm_EF,3,2682,2773
c1,arm_EF,4,2827,2921
c1,arm_EF,5,2974,3063
