dataset,movetype,moveN,BeginF,EndF
b1,hand_OC,1,641,600
b1,hand_OC,2,743,674
b1,hand_OC,3,854,807
b1,hand_OC,4,1065,1009
b1,hand_OC,5,1170,1121
b1,hand_PS,1,1539,1616
b1,hand_PS,2,1693,1762
b1,hand_PS,3,1838,1900
b1,hand_PS,4,1982,2044
b1,hand_PS,5,2111,2175
b1,arm_EF,1,2375,2513
b1,arm_EF,2,2566,2660
b1,arm_EF,3,2759,2806
b1,arm_EF,4,2862,2949
b1,arm_EF,5,3003,3094
