dataset,movetype,moveN,BeginF,EndF
c3,hand_OC,1,718,661
c3,hand_OC,2,850,789
c3,hand_OC,3,960,909
c3,hand_OC,4,1079,1024
c3,hand_OC,5,1197,1138
c3,hand_PS,1,1580,1671
c3,hand_PS,2,1732,1795
c3,hand_PS,3,1852,1925
c3,hand_PS,4,1979,2042
c3,hand_PS,5,2097,2161
c3,arm_EF,1,2285,2436
c3,arm_EF,2,2493,2593
c3,arm_EF,3,2650,2744
c3,arm_EF,4,2801,2890
c3,arm_EF,5,2946,3033
