dataset,movetype,moveN,BeginF,EndF
c2,hand_OC,1,281,390
c2,hand_OC,2,360,441
c2,hand_OC,3,470,500
c2,hand_PS,1,941,827
c2,hand_PS,2,1006,916
c2,hand_PS,3,1069,976
c2,arm_EF,1,1260,1295
c2,arm_EF,2,1348,1390
c2,arm_EF,3,1438,1481
c2,arm_EF,4,1536,1573
c2,arm_EF,5,1617,1660
